Date,"PM,(µg/m3)"
6/20/16 9:00,2.4950027
6/20/16 9:05,2.4950027
6/20/16 9:10,2.5940018
6/20/16 9:15,2.5940018
6/20/16 9:20,2.395996
6/20/16 9:25,2.4950027
6/20/16 9:29,2.395996
6/20/16 9:34,2.296997
6/20/16 9:39,2.296997
6/20/16 9:44,2.296997
6/20/16 9:49,2.197998
6/20/16 9:54,2.197998
6/20/16 9:59,2.197998
6/20/16 10:03,2.197998
6/20/16 10:08,2.197998
6/20/16 10:13,2.197998
6/20/16 10:18,2.197998
6/20/16 10:23,2.098999
6/20/16 10:28,2.098999
6/20/16 10:32,2.197998
6/20/16 10:37,2.296997
6/20/16 10:42,2.098999
6/20/16 10:47,2.098999
6/20/16 10:52,2.197998
6/20/16 10:57,2.098999
6/20/16 11:02,2.197998
6/20/16 11:06,2.197998
6/20/16 11:11,2.197998
6/20/16 11:16,2.098999
6/20/16 11:21,2.098999
6/20/16 11:26,2.197998
6/20/16 11:31,2.395996
6/20/16 11:35,2.7919998
6/20/16 11:40,2.7919998
6/20/16 11:45,2.5940018
6/20/16 11:50,2.4950027
6/20/16 11:55,2.4950027
6/20/16 12:00,2.5940018
6/20/16 12:05,2.9899979
6/20/16 12:09,2.8909988
6/20/16 12:14,2.7919998
6/20/16 12:19,2.8909988
6/20/16 12:24,2.7919998
6/20/16 12:29,2.6930008
6/20/16 12:34,2.6930008
6/20/16 12:38,2.395996
6/20/16 12:43,2.5940018
6/20/16 12:48,2.4950027
6/20/16 12:53,2.296997
6/20/16 12:58,2.296997
6/20/16 13:03,2.296997
6/20/16 13:08,2.197998
6/20/16 13:12,2.395996
6/20/16 13:17,2.296997
6/20/16 13:22,2.197998
6/20/16 13:27,2.197998
6/20/16 13:32,2.098999
6/20/16 13:37,2.098999
6/20/16 13:42,2.098999
6/20/16 13:46,2.296997
6/20/16 13:51,2.197998
6/20/16 13:56,2.197998
6/20/16 14:01,2.197998
6/20/16 14:06,2.098999
6/20/16 14:11,2.197998
6/20/16 14:15,2.197998
6/20/16 14:20,2.296997
6/20/16 14:25,2.197998
6/20/16 14:30,2.197998
6/20/16 14:35,2
6/20/16 14:40,2.296997
6/20/16 14:45,2.197998
6/20/16 14:49,2.098999
6/20/16 14:54,2.395996
6/20/16 14:59,2.197998
6/20/16 15:04,2.098999
6/20/16 15:09,2.197998
6/20/16 15:14,2.098999
6/20/16 15:18,2.296997
6/20/16 15:23,2.395996
6/20/16 15:28,2.395996
6/20/16 15:33,2.5940018
6/20/16 15:38,2.395996
6/20/16 15:43,2.395996
6/20/16 15:48,2.296997
6/20/16 15:52,2.5940018
6/20/16 15:57,2.5940018
6/20/16 16:02,2.395996
6/20/16 16:07,2.5940018
6/20/16 16:12,2.296997
6/20/16 16:17,2.4950027
6/20/16 16:21,2.395996
6/20/16 16:26,2.395996
6/20/16 16:31,2.296997
6/20/16 16:36,2.296997
6/20/16 16:41,2.296997
6/20/16 16:46,2.296997
6/20/16 16:51,2.395996
6/20/16 16:55,2.296997
6/20/16 17:00,2.296997
6/20/16 17:05,2.296997
6/20/16 17:10,2.197998
6/20/16 17:15,2.296997
6/20/16 17:20,2.197998
6/20/16 17:25,2.197998
6/20/16 17:29,2.395996
6/20/16 17:34,2.296997
6/20/16 17:39,3.3860016
6/20/16 17:44,5.762001
6/20/16 17:49,7.1480026
6/20/16 17:54,11.701996
6/20/16 17:58,12.493996
6/20/16 18:03,10.316002
6/20/16 18:08,9.524002
6/20/16 18:13,8.93
6/20/16 18:18,7.9400024
6/20/16 18:23,7.9400024
6/20/16 18:28,7.048996
6/20/16 18:32,6.157997
6/20/16 18:37,5.861
6/20/16 18:42,5.861
6/20/16 18:47,5.564003
6/20/16 18:52,5.3659973
6/20/16 18:57,5.0690002
6/20/16 19:01,4.871002
6/20/16 19:06,4.6729965
6/20/16 19:11,4.5739975
6/20/16 19:16,4.3759995
6/20/16 19:21,4.1780014
6/20/16 19:26,4.1780014
6/20/16 19:31,3.9799957
6/20/16 19:35,3.7819977
6/20/16 19:40,3.7819977
6/20/16 19:45,3.7819977
6/20/16 19:50,3.5839996
6/20/16 19:55,3.4850006
6/20/16 20:00,3.4850006
6/20/16 20:05,3.187996
6/20/16 20:09,3.187996
6/20/16 20:14,3.2870026
6/20/16 20:19,3.088997
6/20/16 20:24,3.088997
6/20/16 20:29,2.7919998
6/20/16 20:34,2.5940018
6/20/16 20:38,2.395996
6/20/16 20:43,2.197998
6/20/16 20:48,2.098999
6/20/16 20:53,2.098999
6/20/16 20:58,2.098999
6/20/16 21:03,2
6/20/16 21:08,2.098999
6/20/16 21:12,2.098999
6/20/16 21:17,2.197998
6/20/16 21:22,2
6/20/16 21:27,1.901001
6/20/16 21:32,1.901001
6/20/16 21:37,2.098999
6/20/16 21:41,1.901001
6/20/16 21:46,2
6/20/16 21:51,1.901001
6/20/16 21:56,1.901001
6/20/16 22:01,2
6/20/16 22:06,1.901001
6/20/16 22:11,1.901001
6/20/16 22:15,1.901001
6/20/16 22:20,1.802002
6/20/16 22:25,2
6/20/16 22:30,1.901001
6/20/16 22:35,1.901001
6/20/16 22:40,1.901001
6/20/16 22:44,1.901001
6/20/16 22:49,1.7030029
6/20/16 22:54,1.901001
6/20/16 22:59,1.7030029
6/20/16 23:04,1.901001
6/20/16 23:09,1.802002
6/20/16 23:14,1.802002
6/20/16 23:18,1.802002
6/20/16 23:23,1.7030029
6/20/16 23:28,1.901001
6/20/16 23:33,1.802002
6/20/16 23:38,1.901001
6/20/16 23:43,1.901001
6/20/16 23:48,1.901001
6/20/16 23:52,1.802002
